Item,Quantity,Name
1,2,plexyglass_outside
2,2,plexyglass_inside
3,1,rolling_cart_1
4,1,rolling_cart_2
5,1,arm_1
6,1,base_2
7,1,base_1
8,1,arm_2
9,4,Bearing 608zz 8x22x7mm
10,2,Hex Bolt M8x30 mm
11,1,gearbox
12,1,mg90s
13,1,hex screw_am(B18.6.7M - M5 x 0.8 x 30 Indented HHMS --30N)
14,1,M5 Hex Head Screw 20 mm
15,1,M5 Nut
16,1,mg90s_holder
17,1,flipper_gearbox
