Item,Quantity,Name
1,1,base_v2
2,1,"PCB, RPi4ModelB"
3,4,hex_m3_l30_bn
4,2,hex nut style 1 gradeab_iso_Hexagon Nut ISO - 4032 - M8 - W - N
5,2,channel bolt M8x45mm
6,4,hex socket m3x8mm
7,2,knob
8,2,damper
